      --------Part 1--------   --------Part 2--------
Day       Time   Rank  Score       Time   Rank  Score
 25   03:52:04   4550      0   03:53:01   3064      0
 24   07:45:40   2817      0   08:52:08   3029      0
 23   03:43:10   3208      0   04:23:59   1707      0
 22   02:23:56   5451      0   07:39:53   4036      0
 21   02:58:21   7643      0   05:08:01   5260      0
 20   04:14:54   6041      0   04:18:11   5757      0
 19   05:11:26   2282      0   08:46:40   3393      0
 18   07:42:09   5392      0   07:50:48   5241      0
 17   03:36:33   8697      0   03:46:47   7650      0
 16   04:32:57   7388      0   05:16:51   6836      0
 15   08:24:19  15695      0   08:39:38  12107      0
 14   03:57:01  16909      0   05:20:18  12027      0
 13   04:34:39  15769      0   04:39:18  14731      0
 12   03:10:07   9301      0   03:23:43   8240      0
 11   04:23:58  13177      0   04:25:15  12849      0
 10   03:57:35  19521      0   04:06:52  17616      0
  9   03:57:32  21351      0   04:28:36  14694      0
  8   01:51:52  14733      0   02:26:08   7308      0
  7   02:13:56  18233      0   02:49:27  19139      0
  6   03:53:30  23866      0   04:09:52  18182      0
  5   03:32:30  14579      0   03:33:59  12469      0
  4   03:39:16  14104      0   03:45:00  12596      0
  3   01:24:35  16933      0   02:11:42  12567      0
  2   03:34:46  33460      0   03:46:29  32001      0
  1   07:16:12  42879      0   07:17:29  36465      0
